url,signals,explanation_en,simplified_signals,risk_level,top_indicators
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,LOW,
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,LOW,
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | repeated character patterns
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,LOW,repeated character patterns
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,LOW,repeated character patterns
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,LOW,repeated character patterns
