url,signals,explanation_en,simplified_signals,confidence_level,refined_explanation
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,OBSERVATIONAL,"The URL https://www.dzwww.com may raise some concerns. While it uses secure HTTPS, which is a positive indicator, the domain name ""dzwww"" lacks clarity and structure, making its purpose ambiguous. Additionally, the use of www within another www (dzwww) could be seen as unusual. However, the common .com extension suggests a legitimate business presence. Overall, caution"
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,OBSERVATIONAL,"The URL https://www.globalreporting.org appears cautiously legitimate due to its secure HTTPS usage, readable domain naming, and common .org extension. However, the lack of specific indicators of suspicious behavior or malicious intent means it may not raise significant concerns. A closer examination would be necessary to determine if this is a genuine organization's website or a potential impersonator."
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,MODERATELY SUSPICIOUS,"This URL may raise some concerns due to its multiple nested subdomains, which can make it harder to determine the website's true ownership. However, the secure HTTPS usage is a positive indicator of legitimacy. The uncommon top-level domain (.hk) and mismatch between the URL and page content also contribute to suspicion. Nevertheless, the structured domain naming suggests that this may be an official university website, but"
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,MODERATELY SUSPICIOUS,"This URL may raise some caution due to its multiple nested subdomains, which can make it harder for users to understand the site's true ownership. Additionally, the uncommon top-level domain (.ak.us) is not typically used by well-known companies or organizations. However, the use of HTTPS and a structured domain name suggest that this website might be legitimate, possibly belonging to Fairbanks County in Alaska"
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,OBSERVATIONAL,"The URL https://www.about.us.hsbc.com appears suspicious due to multiple nested subdomains, which can make it harder to determine the website's true ownership. However, the secure HTTPS usage and recognizable brand-style naming (HSBC) suggest a legitimate connection. The mismatch between the URL and page content also raises concerns. A cautious approach is warranted until further investigation confirms the website's authenticity."
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,OBSERVATIONAL,"The URL https://www.igorware.com may not raise significant concerns, given its secure HTTPS usage and common domain extension (.com). However, the structured domain naming is somewhat generic, which could be a minor red flag. Overall, this URL appears to have some legitimate characteristics, but it's worth noting that IgorWare doesn't appear to be a well-known or prominent company, making it"
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,OBSERVATIONAL,"This URL appears cautiously neutral. On one hand, it uses secure HTTPS protocol and has a recognizable brand-style naming convention with ""authorea"", which suggests a legitimate service. The domain extension "".com"" is also common. However, without additional context or indicators of malicious behavior, the overall legitimacy cannot be conclusively determined. Further analysis would be necessary to confirm its authenticity."
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.fvcbank.com appears to have both legitimate and suspicious characteristics. The use of HTTPS is a positive indicator, as it ensures secure communication. Additionally, the domain name follows readable and structured naming conventions, and it ends with a common "".com"" extension, which are all typical of reputable websites. However, without further context or information about FVC Bank, this"
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.confirmedvpn.com may raise some caution due to its observational classification. While it uses secure HTTPS, has a readable domain name with a common extension (.com), and is structured properly, there are no explicit suspicious indicators present. However, the lack of specific legitimacy indicators or notable security features makes this URL's trustworthiness uncertain. Further analysis would be necessary to determine"
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.loginradius.com appears to have mixed characteristics. On one hand, it uses secure HTTPS protocol and has a recognizable brand-style naming convention with the "".com"" domain extension, which are legitimate indicators. However, without further context or information about the user's interaction with this site, its legitimacy cannot be fully confirmed. A cautious approach is warranted until more data is available to"
https://www.iseepassword.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as password commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as password commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as password commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.iseepassword.com appears cautiously legitimate due to its secure HTTPS usage, recognizable brand-style naming (suggesting a password management service), and common domain extension (.com). However, the lack of specific suspicious indicators makes it difficult to pinpoint potential threats. Further analysis is needed to determine if this URL is genuinely trustworthy or merely masquerading as one."
https://www.paypal-prepaid.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as paypal commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as paypal commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as paypal commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.paypal-prepaid.com may raise caution due to its unusual naming convention, as ""prepaid"" is not a typical suffix associated with PayPal's branding. However, the use of HTTPS and a recognizable brand-style naming scheme suggest that it could be legitimate. A closer examination would be necessary to determine whether this URL is indeed affiliated with PayPal or simply an attempt to mimic"
https://www.securepay.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as secure commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as secure commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as secure commonly targeted in credential theft attacks,OBSERVATIONAL,"This URL's HTTPS usage suggests a secure connection, which is a positive indicator. The domain name ""securepay"" implies a focus on security, aligning with the common expectation of payment processing services. However, without additional context or specific indicators of malicious behavior, it's difficult to determine if this URL is genuinely legitimate or just cleverly named. Further investigation would be necessary to confirm its trust"
https://www.designindaba.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as signin commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as signin commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as signin commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.designindaba.com appears to have a mix of legitimate and potentially suspicious characteristics. The use of HTTPS is a positive indicator, as it ensures secure communication. However, the domain name ""designindaba"" may not be immediately recognizable, which could raise some caution. Overall, this URL seems unlikely to be malicious, but its unfamiliarity warrants closer examination before interacting with"
https://www.thetokens.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as token commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as token commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as token commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.thetokens.com appears cautiously legitimate due to its secure HTTPS usage, readable domain naming, and common .com extension. However, the lack of specific indicators of suspicious activity or malicious intent means it's difficult to conclude with certainty whether this URL is trustworthy. Further investigation may be necessary to determine if the website is a genuine platform for managing tokens or something else entirely."
https://www.parisupdate.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as update commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as update commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as update commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.parisupdate.com appears cautiously legitimate due to its secure HTTPS usage, readable domain naming (""paris"" is a clear reference), and common .com extension. However, the lack of specific indicators (e.g., unusual subdomains or typos) makes it difficult to confidently assess its legitimacy. Further analysis would be necessary to determine if this URL is genuinely related to"
https://www.verifyhalal.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as verify commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as verify commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as verify commonly targeted in credential theft attacks,OBSERVATIONAL,"The URL https://www.verifyhalal.com appears to have a mix of characteristics. On one hand, the use of secure HTTPS is a legitimate indicator, as it ensures encrypted communication. Additionally, the domain name is readable and structured, with a common .com extension. However, without further context or suspicious indicators, its legitimacy cannot be conclusively determined. A cautious approach would be to consider"
https://www.samouraiwallet.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as wallet commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as wallet commonly targeted in credential theft attacks,OBSERVATIONAL,"This URL, https://www.samouraiwallet.com, may not raise immediate concerns due to its secure HTTPS usage. However, the domain name ""samourai"" is somewhat unusual and unstructured compared to more common naming conventions. The "".com"" extension is also standard for commercial websites. Overall, while there's no clear indication of malicious intent, caution should be exercised when interacting with"
