url,signals,explanation_en,simplified_signals,risk_level,top_indicators,refined_explanation
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,LOW,,"The URL’s domain, “dzwww.com,” appears unusual and lacks a widely recognized top-level domain. This unfamiliarity raises a cautious flag. The structure itself doesn’t immediately suggest malicious intent, but the uncommon domain name warrants further investigation. It’s prudent to examine the site’s content and reputation for potential risks."
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,LOW,,"The URL’s domain, “globalreporting.org,” raises a slight concern due to its similarity to legitimate reporting organizations. The presence of “org” suggests a non-profit or corporate entity. While not inherently malicious, the URL warrants closer scrutiny to confirm its authenticity and intended purpose, particularly regarding potential phishing attempts leveraging a familiar domain."
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns,"This URL exhibits several concerning characteristics. The nested subdomain structure alongside the uncommon top-level domain (.edu.hk) warrants careful scrutiny. The page content potentially doesn’t align with the expected university domain, and repeated character patterns within the URL segment raise a red flag. Further investigation is required to assess potential malicious intent."
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns,"This URL exhibits several concerning characteristics. The nested subdomains and uncommon top-level domain (AK) alongside the page content suggest a potential attempt to mimic a legitimate government website. The repetition of characters and the URL/content mismatch introduce further suspicion, warranting careful scrutiny to determine if it’s a deceptive phishing attempt or a compromised site."
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | repeated character patterns,"This URL exhibits several concerning characteristics. The nested subdomain structure alongside the “about.us” portion raises immediate suspicion, potentially mimicking a legitimate domain. Furthermore, the URL’s content doesn't align with HSBC’s official website, and repeated character patterns are present. These factors collectively suggest a possible phishing attempt or a redirection to a malicious site."
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,LOW,repeated character patterns,"The URL’s repeated character patterns, specifically “igorware,” warrant cautious observation. While the domain itself appears legitimate, the unusual string of characters within the domain name raises a minor concern. It’s prudent to investigate the site’s content and reputation to determine if this pattern represents a potential obfuscation technique or a less-established entity."
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,LOW,repeated character patterns,"The URL exhibits a pattern of repeated characters, specifically “authorea,” which is the domain name. While Authorea is a legitimate platform for researchers to share work, this repetition warrants cautious observation. It’s possible this is a standard URL, but the repeated characters raise a minor flag for potential misdirection or obfuscation."
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,LOW,repeated character patterns,"The URL’s repeated character patterns, specifically within “fvcbank,” warrant cautious observation. While ostensibly referencing “First Virginia Bank,” the unusual string of characters suggests a potential attempt at mimicking a legitimate domain. Further investigation is recommended to confirm the URL’s authenticity and intended destination before proceeding."
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,LOW,repeated character patterns,"The URL’s repeated “m” characters in “confirmedvpn” raise a slight flag. While the domain itself appears legitimate, this pattern could be indicative of a subdomain or a less-than-standard naming convention. Further investigation is warranted to confirm the intended destination and ensure it aligns with the stated service offering."
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,LOW,repeated character patterns,"The URL’s repeated character patterns, specifically “radius,” warrant cautious observation. While “loginradius.com” appears legitimate, the repetition suggests a potential attempt to mimic a known domain. Further investigation is advised to confirm the site’s authenticity and ensure it aligns with the intended service, particularly regarding login functionality."
