url,signals,explanation_en,simplified_signals,risk_level,refined_explanation
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,LOW,"The URL, https://www.dzwww.com, presents a cautiously neutral assessment. While utilizing the secure HTTPS protocol and a standard domain extension (.com) suggests a legitimate website, the domain name “dzwww” lacks a readily apparent, established purpose. This relative obscurity warrants a degree of caution, though the presence of HTTPS mitigates immediate concerns, classifying it as a low-risk observation."
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,LOW,"The URL, https://www.globalreporting.org, presents a cautiously neutral assessment. While it utilizes a standard HTTPS protocol and a recognizable domain extension (.org), which are positive indicators of legitimacy, the domain name “globalreporting” could raise a slight level of scrutiny. It’s a common naming convention, suggesting a potential association with reporting standards, but further investigation into the organization’s purpose would be prudent."
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,MEDIUM,"This URL warrants a cautious approach due to several factors. The presence of nested subdomains and an uncommon top-level domain (’.edu.hk’) raises some concern, particularly alongside a reported page content mismatch. However, the use of HTTPS indicates a secure connection, and the domain structure, while complex, is still discernible. The overall risk is medium, suggesting potential for misdirection or a less-than-official resource."
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,MEDIUM,"This URL, pointing to the official website of the Fairbanks, Alaska city government, warrants a cautious approach. While utilizing the secure HTTPS protocol and possessing a clear domain structure – indicating legitimacy – the presence of multiple nested subdomains and an uncommon top-level domain raises some concerns. The reported page content mismatch further suggests a potential deviation from the expected official site, contributing to the medium risk assessment."
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,MEDIUM,"This URL, pointing to “about.us.hsbc.com,” warrants a medium-level risk assessment. While utilizing HTTPS and a recognizable brand-style naming convention – key legitimacy indicators – the presence of multiple nested subdomains and a potential page content mismatch raises concern. The URL’s structure, incorporating “us,” suggests an attempt to mimic a legitimate HSBC domain. Further investigation is advised to confirm the intended destination."
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,LOW,"The URL, https://www.igorware.com, presents a cautiously neutral assessment. While utilizing a secure HTTPS connection and a standard domain extension (.com) suggests legitimacy, the domain name “igorware” is relatively uncommon. The readable domain structure further supports a legitimate website.  Given these factors, the low risk assessment reflects a prudent approach, acknowledging the need for continued vigilance regarding unfamiliar domain names."
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,LOW,"The URL, pointing to Authorea.com, appears cautiously legitimate. The site utilizes HTTPS, a standard security measure, and incorporates recognizable brand naming, aligning with a known academic publishing platform. Its domain structure is readable and employs a common extension. While URLs can sometimes be manipulated, the presence of these indicators suggests a reasonable level of trustworthiness, warranting further investigation if unexpected behavior is encountered."
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,LOW,"The URL, https://www.fvcbank.com, presents a cautiously neutral assessment. While utilizing the secure HTTPS protocol and a standard domain extension (.com) indicates a legitimate website, the presence of ""fvcbank"" suggests a lesser-known financial institution. The readable domain structure and secure connection offer reassurance, but users should still verify the bank’s contact information independently to confirm its authenticity and avoid potential, though currently low, risks."
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,LOW,"The URL, https://www.confirmedvpn.com, presents a cautiously neutral assessment. While it utilizes the secure HTTPS protocol and a standard domain extension (.com), the domain name “confirmedvpn” leans toward a promotional context, often associated with VPN services. The readable domain structure and secure connection suggest a legitimate website, but users should exercise standard caution when visiting unfamiliar domains, particularly those heavily focused on specific services."
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,LOW,"The URL, https://www.loginradius.com, appears cautiously legitimate. It leverages a recognizable brand name and employs the secure HTTPS protocol, a standard practice. The domain structure is clear and utilizes a common extension (.com). While it’s prudent to remain vigilant with any online login page, the presence of established brand styling and a secure connection suggests a reasonable level of trustworthiness, aligning with its established identity."
