url,signals,explanation_en,simplified_signals,refined_explanation
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,"The URL, dzwww.com, immediately raises concerns due to the unusual domain name. It lacks a recognizable top-level domain like .com, .org, or .net, which is common for legitimate websites. The structure – a seemingly random string of characters – suggests an attempt to mimic a valid domain. This pattern is frequently employed in phishing attacks to disguise malicious links and redirect users to fraudulent sites."
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,"The URL, https://www.globalreporting.org, raises a cautious flag due to its domain name mimicking a legitimate reporting organization. The use of “globalreporting” closely resembles established reporting agencies, creating a deceptive association. This pattern suggests a potential phishing attempt, designed to appear trustworthy and solicit sensitive information or install malware under false pretenses."
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,"The URL’s structure – `www.se.cuhk.edu.hk` – immediately raises concerns. The nested subdomain (`se`) combined with the uncommon `.cuhk` top-level domain suggests a potential attempt to mimic a legitimate institution, likely the University of Hong Kong’s School of Engineering. This pattern, alongside the content mismatch, indicates a possible disguise, attempting to appear trustworthy while redirecting to a malicious site."
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"The URL’s structure – `co.fairbanks.ak.us` – immediately raises concerns. The nested subdomain and repeated characters are atypical for legitimate government websites. Coupled with the uncommon `.ak` top-level domain and content referencing “bank,” it suggests a potential disguise. This pattern mimics phishing attempts, aiming to trick users into believing they’re interacting with a trusted source to steal credentials."
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,"This URL, `https://www.about.us.hsbc.com`, raises concerns due to its complex subdomain structure – “about.us.hsbc.com” – which mimics a legitimate HSBC domain but introduces unnecessary layers. The repeated character pattern is also atypical. Combined with the observed content mismatch, this suggests a potential attempt to disguise the true destination, possibly leading to a phishing site designed to steal credentials."
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,"The URL, https://www.igorware.com, raises a cautious flag due to the repeated “ware” and “com” suffixes, a pattern often associated with phishing attempts. This unusual construction mimics legitimate software vendor names, creating a deceptive appearance. The goal is likely to trick users into believing they’re visiting a trusted source, potentially leading to malware downloads or credential harvesting."
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"The URL’s repeated character sequence in “authorea.com” immediately raises a flag. While Authorea is a legitimate publishing platform, this specific structure, combined with the inclusion of “auth” – a frequently used term in phishing attempts – suggests a potential disguise. The pattern mimics legitimate domains, aiming to trick users into believing they’re interacting with a trusted source, potentially leading to credential harvesting."
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"The URL’s repeated “v” and “c” characters in “fvcbank” immediately raise concerns. This unusual domain structure suggests a potential phishing attempt, mimicking a legitimate financial institution. Combining this with the inclusion of “bank,” a frequent target for credential harvesting, indicates a deliberate effort to deceive users into believing they’re interacting with a genuine service."
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"The URL, https://www.confirmedvpn.com, raises concerns due to its repetitive character patterns within the domain name – a common tactic used to mimic legitimate services. Combining this with the inclusion of “confirmed” alongside “vpn,” a frequently targeted term in phishing attempts, suggests a deceptive link. This structure is designed to appear trustworthy while potentially leading to a fraudulent website seeking to steal login credentials."
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,"The URL, https://www.loginradius.com, raises a cautious flag due to its repetitive character structure, a common tactic used to mimic legitimate login pages. The inclusion of “login” immediately suggests an attempt to impersonate a secure access portal. This pattern, combined with the keyword’s association with credential harvesting, indicates a potential disguised link attempting to steal user credentials."
