url,signals,explanation_en,refined_explanation
https://www.southbankmosaics.com,uses an unusually long and potentially deceptive domain name | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. These characteristics are frequently associated with deceptive or malicious web infrastructure.","The URL exhibits characteristics associated with deceptive web infrastructure. Specifically, it utilizes a lengthy domain name with repeated character sequences and demonstrates semantic inconsistency. The presence of sensitive keywords, such as “bank,” warrants further investigation due to their common association with credential theft attempts."
https://www.uni-mainz.de,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.","The URL exhibits characteristics associated with phishing campaigns, specifically the use of lexical obfuscation – repeated character sequences – and a top-level domain often targeted in fraudulent activity. These signals warrant further investigation."
https://www.voicefmradio.co.uk,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",Analysis reveals the URL employs lexical obfuscation through repeated character sequences and utilizes a top-level domain commonly associated with phishing activities. These observed characteristics warrant further investigation due to potential deception tactics.
https://www.sfnmjournal.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.","The URL exhibits characteristics suggesting potential deception. Observed patterns include repeated character sequences, indicative of lexical obfuscation, alongside semantic inconsistencies between the URL and its content. These signals warrant further investigation."
https://www.rewildingargentina.org,uses an unusually long and potentially deceptive domain name | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, and uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.","The URL exhibits characteristics associated with deceptive practices. It incorporates a lengthy domain name and utilizes repeated character sequences, a technique often employed to obscure the destination. The domain’s top-level domain is also frequently observed in phishing campaigns."
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.","The URL exhibits characteristics associated with deceptive web infrastructure. Specifically, it contains a lengthy domain name, incorporates repeated character sequences, and utilizes a top-level domain commonly linked to phishing activity. Semantic inconsistencies within the URL structure and webpage content are also present."
https://www.saffronart.com,shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.","The URL exhibits characteristics suggesting potential manipulation. Specifically, it demonstrates repeated character sequences and semantic inconsistencies within its structure relative to the webpage content. These observations warrant further investigation."
https://www.nerdscandy.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,Analysis indicates the URL exhibits lexical obfuscation through repeated character sequences. This technique is often employed to conceal the destination of the URL. Further investigation is recommended to assess associated risks.
https://www.hyderabadonline.in,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and uses a low-trust top-level domain frequently abused in phishing campaigns. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",Analysis indicates the URL exhibits lexical obfuscation through repeated character sequences and utilizes a top-level domain commonly associated with phishing activity. These characteristics suggest a potential risk associated with the URL’s structure and domain reputation.
https://www.aap.org,shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.","The URL exhibits lexical obfuscation through repeated character sequences and a top-level domain commonly associated with phishing. Furthermore, there’s a semantic mismatch between the URL’s structure and the webpage content. These indicators warrant further investigation."
https://www.religionenlibertad.com,uses an unusually long and potentially deceptive domain name | shows repeated character sequences indicative of lexical obfuscation,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, and shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.","Analysis indicates the URL exhibits characteristics associated with lexical obfuscation, specifically through a lengthy domain name and repeated character sequences. These patterns may be used to conceal the intended destination of the resource."
