url,signals,explanation_en,simplified_signals,risk_level,top_indicators,refined_explanation
https://www.dzwww.com,,This URL was classified as malicious based on underlying structural indicators even though no dominant lexical anomalies were detected.,,LOW,,"The URL, dzwww.com, warrants a cautious observation. The domain name’s unusual construction—a combination of seemingly unrelated terms—raises a slight flag. While lacking specific indicators, the unfamiliar nature of the domain suggests a potential attempt to mimic a legitimate service. It’s prudent to exercise caution and investigate further before interacting with this site."
https://www.globalreporting.org, ,"This URL is classified as malicious because it uses an unusually long and potentially deceptive domain name, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.", ,LOW,,"The URL, https://www.globalreporting.org, warrants a cautious assessment. While the domain name suggests a legitimate reporting organization, the absence of specific indicators (nan) raises a slight concern. The structure – a standard, seemingly reputable website – doesn't immediately trigger red flags, but the lack of detailed information necessitates careful observation of its content and potential redirects before assuming complete trustworthiness."
https://www.se.cuhk.edu.hk,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns,"This URL exhibits concerning characteristics suggesting potential risk. The presence of nested subdomains alongside an uncommon top-level domain (“.cuhk.edu.hk”) raises flags. Furthermore, a mismatch between the URL’s apparent domain and the page content introduces uncertainty. These structural anomalies warrant careful scrutiny, as they could indicate a deceptive attempt to mimic a legitimate source."
https://www.co.fairbanks.ak.us,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | uses a low-trust top-level domain frequently abused in phishing campaigns | shows semantic inconsistency between the URL structure and webpage content | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, uses a low-trust top-level domain frequently abused in phishing campaigns, shows semantic inconsistency between the URL structure and webpage content, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. The combination of these indicators strongly resembles known phishing, credential harvesting, malware delivery, or malicious redirection infrastructure.",multiple nested subdomains | repeated character patterns | uncommon top-level domain | url and page content mismatch | contains sensitive keywords such as bank commonly targeted in credential theft attacks,HIGH,nested subdomains | url and page content mismatch | uncommon top-level domain | repeated character patterns,"This URL exhibits concerning characteristics suggesting potential malicious intent. The presence of nested subdomains and an uncommon top-level domain (AK) alongside a possible page content mismatch raises immediate suspicion. The repetition of characters within the URL structure further deviates from typical governmental website patterns, warranting careful scrutiny and investigation into its true purpose."
https://www.about.us.hsbc.com,contains excessive nested subdomains frequently used to disguise malicious destinations | shows repeated character sequences indicative of lexical obfuscation | shows semantic inconsistency between the URL structure and webpage content,"This URL is classified as malicious because it contains excessive nested subdomains frequently used to disguise malicious destinations, shows repeated character sequences indicative of lexical obfuscation, and shows semantic inconsistency between the URL structure and webpage content. These characteristics are frequently associated with deceptive or malicious web infrastructure.",multiple nested subdomains | repeated character patterns | url and page content mismatch,HIGH,nested subdomains | url and page content mismatch | repeated character patterns,"This URL exhibits concerning characteristics suggesting potential deception. The presence of nested subdomains and a mismatch between the URL and the page content raises immediate suspicion. Furthermore, the repeated character patterns within the domain name – “us.hsbc.com” – deviate from the standard HSBC domain, potentially designed to mimic a legitimate site and trick users into believing they’re interacting with a trusted source."
https://www.igorware.com,shows repeated character sequences indicative of lexical obfuscation,This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.,repeated character patterns,LOW,repeated character patterns,"This URL, igorware.com, warrants a cautious approach. The repeated character patterns in the domain name – “igorware” – are a subtle indicator. While not inherently malicious, this structure can resemble those used by deceptive websites attempting to mimic legitimate software vendors. It’s prudent to verify the site’s authenticity and intended purpose before proceeding, given this unusual naming convention."
https://www.authorea.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as auth commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as auth commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as auth commonly targeted in credential theft attacks,LOW,repeated character patterns,"This URL’s repeated character patterns in the domain name – “authorea” – warrant a cautious observation. While Authorea is a legitimate platform for researchers to share academic work, the unusual string of characters can sometimes be associated with deceptive websites attempting to mimic trusted sources. It’s prudent to verify the site’s authenticity and content directly through its official website."
https://www.fvcbank.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as bank commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as bank commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as bank commonly targeted in credential theft attacks,LOW,repeated character patterns,"This URL, referencing a bank’s website, warrants a cautious approach. The repeated character patterns within the domain name – “fvcbank” – can sometimes mimic legitimate financial institutions. While the risk is currently low, this structural similarity raises a subtle flag. It’s prudent to verify the URL’s authenticity through established channels before entering any sensitive information."
https://www.confirmedvpn.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as confirm commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as confirm commonly targeted in credential theft attacks,LOW,repeated character patterns,"This URL, confirmedvpn.com, warrants a cautious approach. The repeated character patterns in the domain name – “confirmed” and “vpn” – are a common tactic used by deceptive websites attempting to mimic legitimate services like VPN providers. While not inherently malicious, this structure raises a flag, suggesting a potential attempt to appear trustworthy and mislead users. Further investigation is advised."
https://www.loginradius.com,shows repeated character sequences indicative of lexical obfuscation | contains sensitive keywords such as login commonly targeted in credential theft attacks,"This URL is classified as malicious because it shows repeated character sequences indicative of lexical obfuscation, and contains sensitive keywords such as login commonly targeted in credential theft attacks. Some of these indicators may suggest attempts to hide or obfuscate the true destination of the URL.",repeated character patterns | contains sensitive keywords such as login commonly targeted in credential theft attacks,LOW,repeated character patterns,"The presence of repeated character patterns within the URL, like “loginradius,” raises a slight level of caution. While the domain itself appears legitimate, this structure can sometimes be associated with deceptive websites mimicking established services. It’s prudent to verify the site’s authenticity through independent means, particularly if you’re entering sensitive information."
